component,name,max,average,percentile_50.0,percentile_75.0,percentile_80.0,percentile_85.0,percentile_90.0,percentile_95.0,percentile_99.0,percentile_99.9,capacity,instance_cnt,plan_max,plan_average,plan_percentile_50.0,plan_percentile_75.0,plan_percentile_80.0,plan_percentile_85.0,plan_percentile_90.0,plan_percentile_95.0,plan_percentile_99.0,plan_percentile_99.9
tidb,CPU(core),1.971999999997206,0.6484819444444239,0.5013333333306946,0.5213333333337989,0.527999999995809,0.5399999999984478,1.7928666666673965,1.9193333333321305,1.944666666667947,1.9623739999998828,64,1,0.12201749999982711,0.04012482031249872,0.031019999999836727,0.032257500000028805,0.03266999999974068,0.033412499999903957,0.11093362500004514,0.11875874999992556,0.12032625000007921,0.12142189124999274
tidb,Memory(byte),52877537280.0,48315719338.666664,48249675776.0,48339423232.0,48340172800.0,48341045248.0,48645435392.0,49611321344.0,51289120768.0,52877537280.0,264405405696,1,0.8100394152720753,0.7401561996788828,0.7391444678237908,0.7405193233961189,0.7405308061476928,0.7405441713175576,0.7452071724129887,0.760003733146038,0.7857062097414226,0.8100394152720753
tidb,Disk IOPS,14.266666666666667,1.3519386574074075,1.2083333333333333,1.3083333333333333,1.35,1.425,1.5925000000000011,1.9087499999999997,3.7563333333333198,13.152700000000353,80000,1,0.0007061999999999999,6.692096354166666e-05,5.981249999999999e-05,6.47625e-05,6.6825e-05,7.05375e-05,7.882875000000005e-05,9.448312499999998e-05,0.0001859384999999993,0.0006510586500000174
tidb,Disk Bandwidth(byte),158557.86666666667,9282.607407407408,7287.466666666666,8017.066666666667,8354.986666666668,9362.346666666654,14884.266666666676,16765.866666666665,38226.218666666624,143540.4757333354,2490368000,1,0.00025212705592105256,1.4760519462719297e-05,1.158799342105263e-05,1.274814967105263e-05,1.328548519736842e-05,1.488731496710524e-05,2.366786595394738e-05,2.66598478618421e-05,6.078452097039466e-05,0.0002282475055509901
tidb,NetworkIn Bandwidth(byte),691599.0166666667,379735.36943287036,389140.425,404281.5375,408812.95,413178.45166666666,420356.7966666667,433342.8541666666,457121.61749999964,499538.13651666825,26843545600,1,0.00010202572144567966,5.601912971415246e-05,5.74065775796771e-05,5.964021714404224e-05,6.030869789421558e-05,6.095270323008298e-05,6.201166342198849e-05,6.392738604918122e-05,6.743526478484267e-05,7.369261311762057e-05
tidb,NetworkOut Bandwidth(byte),26338787.933333334,493881.2635763889,479110.075,490237.05,493809.7766666667,498069.20083333337,503901.5383333334,510656.4925,522674.9243333333,11600774.025852926,26843545600,1,0.0038855373939871785,7.285810275981201e-05,7.067903492599725e-05,7.232050292193889e-05,7.284755690395831e-05,7.347591352835298e-05,7.433630868047476e-05,7.533280962333082e-05,7.710578666478395e-05,0.001711363536953091
tidb-ac-1849724143851802624,CPU(core),31.598000000044703,9.92221354166669,9.776333333334575,12.730999999990065,13.374800000004472,14.076099999984727,14.982733333346745,16.38210000003067,19.773366666654123,25.047450000012578,64,12,23.461515000033188,7.367243554687517,7.258927500000921,9.452767499992621,9.930789000003319,10.451504249988659,11.124679500009957,12.16370925002277,14.681724749990686,18.597731625009338
tidb-ac-1849724143851802624,Memory(byte),115978194944.0,88170492736.94815,87765688320.0,89302542336.0,89740029952.0,90250243276.8,91032005836.8,92631529676.79999,96929104076.8,104638357348.3524,264405405696,12,21.320261279024947,16.20837385130692,16.13395869128132,16.41647842858763,16.496901738193042,16.590694208389948,16.734405550383215,17.028445875871085,17.818468596247882,19.23565994066428
tidb-ac-1849724143851802624,Disk IOPS,474.27500000000003,20.58001736111111,19.7,24.775,26.008333333333333,27.33458333333333,28.84166666666667,30.925,34.96358333333331,219.89179166669192,80000,12,0.28171935,0.012224530312499999,0.011701799999999997,0.014716349999999998,0.015448949999999996,0.016236742499999998,0.01713195,0.01836945,0.020768368499999985,0.13061572425001497
tidb-ac-1849724143851802624,Disk Bandwidth(byte),86276270.93333335,2536592.957283951,2279722.6666666665,3146588.8000000003,3360029.0133333337,3593841.92,3864611.8400000003,4115114.453333333,4571411.370666666,44022610.78613407,2490368000,12,1.6462821537828949,0.04840204232070655,0.04350056743421052,0.060041688527960525,0.06411445164473684,0.06857595666118421,0.07374265756578947,0.07852262750822367,0.08722946501644735,0.8400182079745205
tidb-ac-1849724143851802624,NetworkIn Bandwidth(byte),383540925.8,28595160.63442708,17469744.30833333,35348276.19583333,43309812.54666667,53174682.71666666,66288674.035000004,88999083.02166665,150658252.92366663,239972231.68517408,26843545600,12,0.6789663729822635,0.05062081043973471,0.030925953743308775,0.06257556694842874,0.07666953996634482,0.09413290480881926,0.1173480521940887,0.15755133424660558,0.26670396994548434,0.42481275087891035
tidb-ac-1849724143851802624,NetworkOut Bandwidth(byte),2170413987.6666665,29682884.305408955,25057065.025000002,36099435.87916666,39308210.586666666,43737890.37916667,49895961.936666675,61519456.2425,92737622.94516657,207365144.11420995,26843545600,12,3.8421926160871975,0.05254636191550766,0.044357468559890985,0.06390531334944068,0.0695856722846031,0.07742734815247357,0.08832872328275443,0.10890530648244916,0.1641695142669348,0.3670897948856375
tidb-ac-1895731617394069504,CPU(core),37.4073333332936,14.791160055556208,14.808666666659217,18.82750000000621,19.886666666716337,20.84143333327646,21.96333333340784,23.611399999993537,27.208720000054697,32.028023999995085,64,25,57.86446874993854,22.880075710938506,22.907156249988475,29.1237890625096,30.76218750007683,32.23909218741202,33.97453125011525,36.523884374990004,42.08848875008461,49.54334962499239
tidb-ac-1895731617394069504,Memory(byte),142456422400.0,95966520577.13777,95064213504.0,97444618240.0,98152669184.0,98767260467.2,99617491353.6,101656972083.19998,113850663526.40001,121429842595.8411,264405405696,25,54.55781558603998,36.753160327023586,36.40759568298105,37.319240664785845,37.59040929430403,37.8257848380999,38.15140539717529,38.932483650175115,43.60241118214142,46.50507746420678
tidb-ac-1895731617394069504,Disk IOPS,50.88333333333333,28.623122453703708,28.316666666666666,32.958333333333336,34.18333333333334,35.63333333333333,37.483333333333334,39.7,43.82508333333335,47.15001666666674,80000,25,0.06296812499999999,0.03542111403645833,0.03504187499999999,0.040785937499999994,0.042301874999999996,0.04409624999999999,0.046385625,0.04912875,0.054233540625000014,0.058348145625000084
tidb-ac-1895731617394069504,Disk Bandwidth(byte),7342835.2,3087826.9717333335,2969026.133333334,3790288.0,4015374.5066666673,4289744.426666667,4591785.8133333335,5051084.799999999,5955022.762666667,6640653.683200019,2490368000,25,0.2919009097450658,0.12275088268143501,0.118028173828125,0.15067592901932564,0.15962382915296053,0.17053090075041114,0.1825380006167763,0.2007965871710526,0.23673097851562497,0.2639869748715057
tidb-ac-1895731617394069504,NetworkIn Bandwidth(byte),222843753.68333334,24001876.653471757,22301331.725,28351354.12083333,29888856.55,31752939.781666666,34250976.18000001,39921262.54916659,87193228.37050001,106963773.25601786,26843545600,25,0.8218560969326645,0.08851981865963726,0.08224814537074417,0.10456085421005261,0.11023122066445648,0.11710602933112531,0.12631888098344207,0.1472311091559936,0.3215718868627958,0.394486395729548
tidb-ac-1895731617394069504,NetworkOut Bandwidth(byte),84823973.50000001,37446268.99962639,37241141.9,46944351.90833334,49331515.010000005,51436524.17333333,53813304.47333334,57217127.95666666,64050568.29716668,74037729.50445005,26843545600,25,0.3128339863009751,0.13810324039172428,0.13734672397747633,0.17313252534437926,0.18193647213242947,0.18969982464462515,0.19846547927185892,0.211018907565996,0.2362208910815232,0.2730539150886444
tikv,CPU(core),18.375,9.116684656803542,9.075,10.341666666666667,10.616666666666667,10.925,11.308333333333334,11.9,13.175,15.485675000000143,32,138,313.79906249999993,155.69018222656248,154.97831249999996,176.60981249999998,181.30612499999998,186.5716875,193.1180625,203.22224999999997,224.99606249999997,264.4566148125024
tikv,Memory(byte),86260953088.0,83293724228.6583,83673595904.0,84045841408.0,84140448972.8,84256134963.2,84405961932.8,84649308364.8,85204268072.96,85693808001.024,132124860416,138,356.7828605086777,344.5101419457395,346.0813244808591,347.62096450307314,348.0122696809869,348.49075707415983,349.11045454887596,350.11695671463525,352.4123186954193,354.43709873337804
tikv,Storage(byte),1754554886475.0,1647153307994.1987,1700298419984.0,1712515869505.75,1715433748714.2,1718636678288.25,1722560188633.4,1727831287766.7,1736858621965.66,1746034176834.5432,2641059045376,138,363.047223817123,340.82401199194686,351.8206388379218,354.34863677357396,354.9523955697378,355.6151361308363,356.4269770993945,357.51765708983584,359.38556595074715,361.2841441872036
tiflash,CPU(core),9.0,4.609658564814814,4.541666666666667,5.083333333333333,5.233333333333333,5.425,5.641666666666667,5.925,7.348416666666663,8.478691666666707,32,8,8.909999999999998,4.563561979166665,4.49625,5.032499999999999,5.180999999999999,5.370749999999999,5.585249999999999,5.865749999999999,7.274932499999995,8.39390475000004
tiflash,Memory(byte),79453630464.0,54621325589.68889,57058379776.0,57769124864.0,57932475596.8,58134827622.4,58401045299.2,58880480665.6,60018310430.72,62504035725.3122,267046625280,8,9.425661194783249,6.479780798079755,6.76889089839046,6.853207277091114,6.872585732855826,6.896590949788586,6.92817261082692,6.985048493050209,7.120030340962373,7.41491434202441
tiflash,Storage(byte),2734638291061.0,2702076721464.7065,2716196010524.0,2721129688635.5,2721929202525.6,2723414158741.8,2728910234144.9,2730329507989.05,2732524703189.74,2733972476432.622,4327864287232,8,20.017573405986145,19.77922246511819,19.882575770053844,19.918690331925255,19.92454277977421,19.93541267074283,19.975643985131292,19.986033080629344,20.002101926448525,20.01269963776535
tiflash,Disk IOPS,5065.041666666666,2825.9705512152777,2917.145833333333,3277.291666666667,3348.2533333333336,3422.7054166666667,3511.285,3637.9779166666667,3959.625833333333,4642.775350000075,16000,8,10.028782499999998,5.595421691406249,5.775948749999999,6.489037499999999,6.6295416,6.776956724999999,6.952344299999999,7.203196274999999,7.840059149999998,9.192695193000148
tiflash,Disk Bandwidth(byte),276365056.0,67456193.33925925,64757862.400000006,82356272.0,86242135.03999999,90418352.64,94127657.38666667,98892663.46666665,107958032.51199993,243902556.38187307,1245184000,8,7.031286118421051,1.7162220242050434,1.6475710263157894,2.095310168585526,2.194174385526315,2.3004258098684205,2.3947980266447364,2.516029421052631,2.7466707490460505,6.2053744556448995
tiflash,NetworkIn Bandwidth(byte),96988452.9,10672644.22279369,8894176.791666668,11599630.5875,12748294.040000003,14357451.251666665,16938254.188333336,23095614.65583331,36615122.75983331,65024275.72171689,1610612736,8,1.9077175531983375,0.20992592534553514,0.174944301918149,0.22815931402891873,0.25075298745632174,0.28240435797274105,0.3331675459235907,0.45427994945198247,0.7202023572173709,1.2789971225360972
tiflash,NetworkOut Bandwidth(byte),101572601.58333334,17862250.535253186,15684872.233333332,21844391.262500003,24351412.283333335,27330594.489166666,32264709.401666682,39098925.72749999,50640983.845,66137044.978451185,1610612736,8,1.9978856159746645,0.35134212235412304,0.30851410847902294,0.42966896990686654,0.47898090204596516,0.5375800240889191,0.634631759080291,0.7690576010987159,0.9960844915419815,1.3008847739034228
pd,CPU(core),36.6480000000447,8.828157407407595,0.0929999999993015,23.956999999998757,25.034799999967216,25.814133333284406,26.71353333329161,29.072733333371588,33.76906000004216,35.55871666669662,64,3,6.8027850000082974,1.6387267187500345,0.01726312499987034,4.447018124999769,4.647084749993914,4.791748499990917,4.958699624992255,5.3966261250071,6.268381762507825,6.600586781255559
