component,name,max,average,percentile_50.0,percentile_75.0,percentile_80.0,percentile_85.0,percentile_90.0,percentile_95.0,percentile_99.0,percentile_99.9,capacity,instance_cnt,plan_max,plan_average,plan_percentile_50.0,plan_percentile_75.0,plan_percentile_80.0,plan_percentile_85.0,plan_percentile_90.0,plan_percentile_95.0,plan_percentile_99.0,plan_percentile_99.9
tidb,CPU(core),1.8393333333350408,0.5957726851851045,0.4633333333341094,0.478666666666201,0.4840000000006209,0.4940000000021731,1.671733333333397,1.7780333333359644,1.8004066666670453,1.8276100000019588,64,1,0.06897500000006403,0.022341475694441417,0.017375000000029103,0.017949999999982535,0.018150000000023283,0.01852500000008149,0.06269000000000238,0.06667625000009866,0.0675152500000142,0.06853537500007345
tidb,Memory(byte),49502461952.0,47133681137.77778,47499661312.0,47505334272.0,47558569984.0,47558840320.0,47619616768.0,47620472832.0,47620472832.0,49490599936.0,264405405696,1,0.45959763562558376,0.43760507164790885,0.4410029556343957,0.4410556253178859,0.44154988371234244,0.4415523936033969,0.4421166627468105,0.44212461073514947,0.44212461073514947,0.45948750464840854
tidb,Disk IOPS,11.45,1.33875,1.2333333333333334,1.325,1.3666666666666667,1.425,1.5833333333333333,1.7837499999999997,3.403666666666663,6.571583333333569,80000,1,0.00034349999999999995,4.01625e-05,3.7e-05,3.975e-05,4.1e-05,4.275e-05,4.7499999999999996e-05,5.3512499999999986e-05,0.00010210999999999987,0.00019714750000000706
tidb,Disk Bandwidth(byte),126195.2,8692.00888888889,7257.6,7872.0,8162.986666666667,8781.653333333328,14400.426666666668,16674.986666666668,29153.023999999983,68620.04480000175,2490368000,1,0.00012161595394736841,8.376601905153509e-06,6.994243421052632e-06,7.586348684210526e-06,7.866776315789473e-06,8.462993421052627e-06,1.3877878289473685e-05,1.6069901315789474e-05,2.809514802631577e-05,6.613002878289641e-05
tidb,NetworkIn Bandwidth(byte),521189.01666666666,330804.45854166674,342309.68333333335,356428.2708333333,359740.43,362918.54333333333,370183.7533333333,379887.02249999996,410590.84383333294,486354.2115666743,26843545600,1,4.659792929887771e-05,2.957622336223722e-05,3.060487061738968e-05,3.1867170706391336e-05,3.2163300812244414e-05,3.244744628667831e-05,3.3097006678581236e-05,3.396454654633999e-05,3.670968209207054e-05,4.3483455023170195e-05
tidb,NetworkOut Bandwidth(byte),31413762.7,499213.0416319445,431722.0916666667,440074.3125,441650.50000000006,443712.45249999996,446034.9716666667,449272.835,458022.50366666645,27391012.207033824,26843545600,1,0.0028086092501878736,4.4633124020571513e-05,3.8598962873220445e-05,3.934570960700511e-05,3.948663175106049e-05,3.967098467051983e-05,3.987863406538964e-05,4.0168121606111525e-05,4.0950402945280054e-05,0.0024489473289579593
tidb-ac-1849736027246170112,CPU(core),28.172000000004967,8.482919907407405,8.299666666674117,10.953000000010555,11.537466666636368,12.204866666629288,12.948133333312969,14.017400000045695,16.683493333333487,22.512690666638573,64,10,10.564500000001862,3.181094965277777,3.112375000002794,4.107375000003958,4.326549999988638,4.576824999985983,4.855549999992363,5.256525000017136,6.256310000000057,8.442258999989464
tidb-ac-1849736027246170112,Memory(byte),107970281472.0,85796029028.69333,85476907008.0,86822866944.0,87292198912.0,87847286374.4,88574163353.6,89727131852.8,92907444551.68001,97784546115.58441,264405405696,10,10.02432689721104,7.965594140729053,7.935965770663553,8.060929253254013,8.104503623964193,8.15603982544278,8.22352554794178,8.330571051395106,8.62584206203142,9.078648702163736
tidb-ac-1849736027246170112,Disk IOPS,36.983333333333334,17.83052025462963,17.558333333333334,21.808333333333334,22.816666666666666,23.991666666666667,25.308333333333334,27.150416666666658,30.44175,33.54335000000004,80000,10,0.011095,0.005349156076388888,0.0052675,0.0065425,0.006845,0.007197499999999999,0.007592499999999999,0.008145124999999996,0.009132524999999999,0.01006300500000001
tidb-ac-1849736027246170112,Disk Bandwidth(byte),4544264.533333333,2085243.7517037038,1890675.2,2707404.8,2873044.48,3099261.8666666667,3308167.2533333334,3540669.6533333333,3899096.661333334,4326369.966933337,2490368000,10,0.043793667763157886,0.020095764979669226,0.018220682565789473,0.02609161184210526,0.027687902960526315,0.029867989309210526,0.031881237664473684,0.03412189350328947,0.037576101151315794,0.04169378951480267
