component,instance,cpu capacity,mem capacity,cpu usage,mem usage,store_usage,instance number
tidb,10.107.40.105,32,65020936192,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.40.106,32,65020940288,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.40.108,32,65020948480,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.40.109,32,65020948480,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.40.110,32,65020948480,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.40.111,32,65020932096,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.40.147,32,65020944384,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.41.44,32,65020948480,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.41.45,32,65020936192,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.41.47,32,65020940288,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.41.48,32,65020919808,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.41.49,32,65020948480,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.41.50,32,65020940288,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.41.85,32,65020936192,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.42.192,32,65020944384,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.42.193,32,65020944384,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
tidb,10.107.42.195,32,65020932096,"{'max': 11.690666666689019, 'average': 6.968459736302354, 'percentile_99.0': 10.991006666670243}","{'max': 17054932992.0, 'average': 14374862896.761906, 'percentile_99.0': 16592794132.480001}",0,21
