component,metric_name,value
tikv,Hibernate Peers(awaken),"{'max': 9675.0, 'average': 5768.977350427351}"
tikv,Approximate region size,"{'max': 532195912.48539335, 'average': 525984389.60358864}"
tikv,gRPC poll CPU(server.grpc-concurrency),"{'max': 2.4255000000009215, 'average': 1.89215218291433}"
tikv,Scheduler worker CPU(storage.scheduler-worker-pool-size),"{'max': 3.169833333333702, 'average': 1.4995420687460308}"
tikv,Store writer CPU(raftstore.store-io-pool-size),"{'max': 0.4828333333331102, 'average': 0.3675878679499122}"
tikv,Unified read pool CPU(readpool.unified.max-thread-count),"{'max': 1.5753333333333408, 'average': 0.6077891758336239}"
tikv,Raft store CPU(raftstore.store-pool-size),"{'max': 2.3781666666662202, 'average': 1.8705814815766892}"
tikv,99% Append log duration per server,"{'max': 0.006801323179692674, 'average': 0.003444213273350791}"
tikv,99% Commit log duration per server,"{'max': 0.00973714589869867, 'average': 0.005932116435742274}"
tikv,99% Apply log duration per server,"{'max': 0.0021361464579464037, 'average': 0.0011685936886060308}"
tikv,Scheduler pending commands,"{'max': 291.0, 'average': 36.38119658119658}"
tikv,GC tasks duration,"{'max': 335.54432, 'average': 20.568746666666662}"
tikv,99% Handle snapshot duration,"{'max': 9.987686400000012, 'average': 2.3363047593478203}"
tikv,Compaction pending bytes,"{'max': 17026363180.0, 'average': 2123407468.7376068}"
tikv,"Number of Regions(avg,max)","{'max': 42017.0, 'average': 38349.84316239316}"
tidb,gc life time,"{'max': 86400.0, 'average': 86400.0}"
tidb,"QPS(avg,max)","{'max': 13621.150000000001, 'average': 13089.12722422992}"
tidb,active connections,"{'max': 227.0, 'average': 176.71666666666667}"
tidb,"Stats Healthy Distribution[0,50)","{'max': 0.0, 'average': 0.0}"
tidb,"999 Duration(insert)(avg,max)","{'max': 0.1635433873085413, 'average': 0.09747852398242975}"
tidb,"999 Duration(select)(avg,max)","{'max': 0.9082403720933729, 'average': 0.1395108737844829}"
tidb,"999 Duration(update)(avg,max)","{'max': 0.015983999999999998, 'average': 0.015983999999999998}"
pd,max-replicas,3
pd,Label distribution,"{'az:A': '19', 'az:B': '19', 'az:C': '19', 'host:h40.112': '1', 'host:h40.113': '1', 'host:h40.114': '1', 'host:h40.115': '1', 'host:h40.116': '1', 'host:h40.117': '1', 'host:h40.118': '1', 'host:h40.119': '1', 'host:h40.120': '1', 'host:h40.121': '1', 'host:h40.122': '1', 'host:h40.124': '1', 'host:h40.125': '1', 'host:h40.127': '1', 'host:h40.128': '1', 'host:h40.129': '1', 'host:h40.130': '1', 'host:h40.133': '1', 'host:h40.146': '1', 'host:h41.51': '1', 'host:h41.52': '1', 'host:h41.53': '1', 'host:h41.54': '1', 'host:h41.55': '1', 'host:h41.56': '1', 'host:h41.57': '1', 'host:h41.58': '1', 'host:h41.59': '1', 'host:h41.60': '1', 'host:h41.61': '1', 'host:h41.64': '1', 'host:h41.65': '1', 'host:h41.66': '1', 'host:h41.67': '1', 'host:h41.69': '1', 'host:h41.70': '1', 'host:h41.72': '1', 'host:h41.84': '1', 'host:h42.199': '1', 'host:h42.200': '1', 'host:h42.201': '1', 'host:h42.202': '1', 'host:h42.203': '1', 'host:h42.204': '1', 'host:h42.205': '1', 'host:h42.206': '1', 'host:h42.207': '1', 'host:h42.208': '1', 'host:h42.209': '1', 'host:h42.211': '1', 'host:h42.213': '1', 'host:h42.214': '1', 'host:h42.215': '1', 'host:h42.216': '1', 'host:h42.219': '1', 'host:h42.220': '1', 'host:h42.232': '1', 'zone:SGP': '57'}"
pd,empty-region-count,"{'max': 4786.0, 'average': 4783.216666666666}"
pd,Scheduler is running,"{'balance-hot-region-scheduler': '1', 'balance-leader-scheduler': '1', 'balance-region-scheduler': '1', 'balance-witness-scheduler': '1', 'evict-slow-store-scheduler': '1', 'split-bucket-scheduler': '1', 'transfer-witness-leader-scheduler': '1'}"
