cluster_id,cluster_name,version,PD 节点数,TiDB 节点数,TiKV 节点数,TiFlash 节点数,Total QPS(MAX),实际数据存储量(byte),组件tikv,组件tidb,组件pd,组件tiflash
1379661944646413137,us-archit-prod,v6.5.4,3,2,3,0,{'max': 17.85833333333333},{'max': 3971576550.0},实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.large  CPU(core):2  Memory(byte):8589934592  ,
1379661944646413225,us-javaback-prod,v7.5.6,3,3,3,0,{'max': 7768.591666666667},{'max': 1335035980301.0},实例类型:m6g.4xlarge  CPU(core):16  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,
1379661944646413872,us-risk-prod,v6.5.7,3,3,3,2,{'max': 140.0},{'max': 2804104045054.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646414653,us-gogame-prod,v6.5.10,3,6,12,5,{'max': 45465.11666666667},{'max': 43582409249689.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.2xlarge  CPU(core):8  Memory(byte):68719476736  
1379661944646415312,pressure-test-go-saas-7-5-region1,v7.5.6,3,4,12,1,{'max': 26944.033333333333},{'max': 2425342592383.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.4xlarge  CPU(core):16  Memory(byte):137438953472  
1379661944646415385,prod-us-saas-region04-tidb,v7.5.6,3,20,69,4,{'max': 120313.95},{'max': 127774381887273.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416018,us-betcenter-order-prod-02-v75,v7.5.6,3,12,36,10,{'max': 13236.55},{'max': 39697197697017.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416019,us-betcenter-order-prod-04-v75,v7.5.6,3,14,42,10,{'max': 12481.125},{'max': 47064767880030.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416020,us-betcenter-order-prod-03-v75,v7.5.6,3,13,45,8,{'max': 21245.233333333337},{'max': 61065008094185.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416027,prod-us-saas-region01-tidb-v75,v7.5.6,3,44,141,8,{'max': 224060.02499999997},{'max': 219179336567093.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416046,bet-config-prod-v75,v7.5.6,3,10,15,2,{'max': 52884.58333333333},{'max': 14173679930531.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,实例类型:r6g.4xlarge  CPU(core):16  Memory(byte):137438953472  
1379661944646416054,prod-us-saas-region02-tidb-v75,v7.5.6,3,27,90,5,{'max': 153908.05000000002},{'max': 153994754524143.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416073,prod-seamless-wallet-01-v75,v7.5.6,3,18,27,0,{'max': 181191.68333333335},{'max': 28302242777155.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,
1379661944646416074,prod-seamless-wallet-03-v75,v7.5.6,3,12,24,0,{'max': 163900.625},{'max': 31309777083332.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,
